,date
0,1981-02-01
1,1981-03-03
2,1981-03-04
3,1981-03-17
4,1981-03-21
5,1981-03-22
6,1981-03-25
7,1981-03-27
8,1981-03-29
9,1981-03-31
10,1981-04-04
11,1981-04-08
12,1981-04-15
13,1981-04-19
14,1981-04-20
15,1981-05-03
16,1981-05-04
17,1981-05-13
18,1981-05-17
19,1981-05-18
20,1981-05-22
21,1981-05-23
22,1981-05-27
23,1981-05-28
24,1981-05-29
25,1981-05-30
26,1981-06-04
27,1981-06-28
28,1981-06-29
29,1981-07-01
30,1981-07-02
31,1981-07-03
32,1981-07-08
33,1981-07-09
34,1981-07-10
35,1981-07-12
36,1981-07-13
37,1981-07-17
38,1981-07-18
39,1981-07-25
40,1981-07-26
41,1981-07-27
42,1981-08-01
43,1981-08-03
44,1981-08-06
45,1981-08-07
46,1981-08-09
47,1981-08-10
48,1981-08-11
49,1981-08-12
50,1981-08-13
51,1981-08-16
52,1981-08-17
53,1981-08-27
54,1981-08-31
55,1981-09-06
56,1981-09-07
57,1981-09-12
58,1981-09-15
59,1981-10-03
60,1981-10-04
61,1981-10-05
62,1981-10-12
63,1981-10-15
64,1981-10-16
65,1981-10-25
66,1981-10-29
67,1981-10-30
68,1981-10-31
69,1981-11-19
70,1981-11-30
71,1981-12-16
72,1981-12-22
73,1981-12-27
74,1981-12-31
75,1982-01-01
76,1982-01-02
77,1982-01-05
78,1982-01-06
79,1982-01-22
80,1982-02-11
81,1982-02-25
82,1982-03-03
83,1982-03-12
84,1982-03-14
85,1982-03-16
86,1982-03-31
87,1982-04-12
88,1982-04-24
89,1982-04-28
90,1982-05-05
91,1982-05-11
92,1982-05-12
93,1982-05-13
94,1982-05-14
95,1982-05-23
96,1982-05-25
97,1982-05-26
98,1982-05-30
99,1982-06-02
100,1982-06-03
101,1982-06-13
102,1982-06-15
103,1982-06-18
104,1982-06-19
105,1982-06-25
106,1982-06-26
107,1982-06-30
108,1982-07-08
109,1982-07-09
110,1982-07-12
111,1982-07-27
112,1982-07-28
113,1982-07-29
114,1982-07-30
115,1982-08-10
116,1982-08-14
117,1982-08-16
118,1982-08-20
119,1982-08-21
120,1982-08-22
121,1982-08-23
122,1982-08-24
123,1982-08-25
