Basin Name,HUC8,ar_scale,start_date,coast_lat,coast_lon,ar_date,coast_level,prec
Upper Colorado,14080107,2.0,2003-02-26,29.75,-112.5,2003-02-25 02,823.8774248403494,13.8557
Upper Colorado,14080107,2.0,2003-03-17,31.25,-113.5,2003-03-16 01,880.2379476368105,13.8349
Upper Colorado,14080107,3.0,2003-09-10,31.25,-113.5,2003-09-09 08,856.6807334686939,59.7651
Upper Colorado,14080107,2.0,2003-11-13,33.0,-117.25,2003-11-11 05,586.3703842558817,13.5241
Upper Colorado,14080107,2.0,2004-04-04,24.0,-107.0,2004-04-02 01,629.5515160132461,17.5193
Upper Colorado,14080107,2.0,2004-09-05,29.25,-112.25,2004-09-03 13,840.8124664626613,16.2011
Upper Colorado,14080107,3.0,2004-12-30,28.5,-111.5,2004-12-29 07,940.248289178238,14.6229
Upper Colorado,14080107,3.0,2005-01-05,28.0,-111.0,2005-01-04 00,857.9035233306197,12.9229
Upper Colorado,14080107,3.0,2005-01-10,32.25,-117.0,2005-01-09 04,699.1995312337026,15.207
Upper Colorado,14080107,2.0,2005-01-12,31.0,-113.0,2005-01-11 08,930.3341835633566,12.618
Upper Colorado,14080107,3.0,2005-02-12,27.5,-110.5,2005-02-11 00,845.9956566970204,15.8358
Upper Colorado,14080107,2.0,2005-04-25,31.5,-114.25,2005-04-24 01,996.5740889674227,12.9699
Upper Colorado,14080107,2.0,2005-09-29,31.5,-116.5,2005-09-27 12,761.4749552416307,14.6
Upper Colorado,14080107,2.0,2005-09-30,31.75,-114.5,2005-09-27 13,690.0374708177422,15.9039
Upper Colorado,14080107,2.0,2006-06-09,26.5,-97.5,2006-06-06 14,719.0751766457331,14.1599
Upper Colorado,14080107,2.0,2007-09-23,28.5,-111.5,2007-09-20 19,642.6044870236412,14.7731
Upper Colorado,14080107,3.0,2007-09-24,30.25,-112.75,2007-09-23 08,857.5637125218182,17.3621
Upper Colorado,14080107,3.0,2007-12-01,31.0,-113.0,2007-11-30 04,830.2281394645115,29.8089
Upper Colorado,14080107,5.0,2007-12-02,31.25,-113.25,2007-12-01 03,986.3059752567053,12.4871
Upper Colorado,14080107,2.0,2007-12-08,30.25,-112.75,2007-12-07 10,932.3510028412005,22.803
Upper Colorado,14080107,2.0,2008-01-06,31.25,-113.25,2008-01-05 05,954.6967612200095,31.8746
Upper Colorado,14080107,4.0,2008-01-28,30.25,-112.75,2008-01-27 08,785.0884183825128,18.3986
Upper Colorado,14080107,2.0,2008-10-05,31.0,-113.0,2008-10-04 09,769.8258392815442,16.3884
Upper Colorado,14080107,2.0,2008-12-16,31.0,-113.0,2008-12-15 01,795.2900656207619,13.676
Upper Colorado,14080107,2.0,2010-01-22,28.75,-112.0,2010-01-20 20,906.6417980774836,23.3652
Upper Colorado,14080107,3.0,2010-09-23,29.25,-112.25,2010-09-21 21,886.7996735975289,21.141
Upper Colorado,14080107,2.0,2011-04-25,35.25,-120.75,2011-04-23 04,775.6439507880468,13.6112
Upper Colorado,14080107,2.0,2011-05-19,34.0,-119.0,2011-05-17 21,724.2739564313111,13.7823
Upper Colorado,14080107,2.0,2011-10-05,29.25,-112.25,2011-10-03 15,922.6887883247787,17.5887
Upper Colorado,14080107,4.0,2011-10-07,35.5,-121.0,2011-10-05 18,799.5014868623127,12.4997
Upper Colorado,14080107,2.0,2012-12-15,33.0,-117.25,2012-12-13 23,712.4307605168885,14.1327
Upper Colorado,14080107,2.0,2013-09-23,31.25,-113.25,2013-09-22 08,903.0607670438752,17.1867
Upper Colorado,14080107,2.0,2013-10-11,31.5,-116.5,2013-10-09 17,856.3056061468213,16.6352
Upper Colorado,14080107,2.0,2014-04-27,31.5,-114.0,2014-04-26 03,984.42285033013,12.6852
Upper Colorado,14080107,2.0,2014-09-29,29.75,-112.5,2014-09-28 07,888.4435969299418,16.6237
Upper Colorado,14080107,3.0,2015-06-06,30.25,-112.75,2015-06-05 10,722.3568883738277,15.0072
Upper Colorado,14080107,3.0,2015-11-16,31.0,-113.0,2015-11-14 21,857.9236428556633,15.5549
Upper Colorado,14080107,2.0,2015-12-23,33.75,-118.0,2015-12-21 15,854.8274777144434,13.6298
Upper Colorado,14080107,3.0,2016-11-22,31.25,-113.5,2016-11-20 22,1000.0,17.4579
Upper Colorado,14080107,4.0,2016-12-23,28.25,-111.25,2016-12-21 23,805.6595238772163,13.5377
Upper Colorado,14080107,3.0,2017-01-06,34.5,-119.5,2017-01-04 21,745.0255699681263,12.9334
Upper Colorado,14080107,2.0,2017-02-28,31.75,-114.5,2017-02-27 04,866.9385472513057,15.5568
Upper Colorado,14080107,2.0,2017-05-10,22.5,-98.0,2017-05-08 01,896.9046241613576,12.5865
Upper Colorado,14080107,2.0,2018-06-17,24.5,-97.75,2018-06-14 10,911.5713497626957,18.3518
