,datetime
0,2002-09-08 05:00:00
1,2002-09-08 04:00:00
2,2002-09-08 03:00:00
3,2002-09-08 02:00:00
4,2002-09-08 01:00:00
0,2008-08-29 07:00:00
1,2008-08-29 06:00:00
2,2008-08-29 05:00:00
3,2008-08-29 04:00:00
4,2008-08-29 03:00:00
5,2008-08-29 02:00:00
6,2008-08-29 01:00:00
0,2008-08-29 11:00:00
1,2008-08-29 10:00:00
2,2008-08-29 09:00:00
3,2008-08-29 08:00:00
0,2013-09-10 16:00:00
1,2013-09-10 15:00:00
2,2013-09-10 14:00:00
3,2013-09-10 13:00:00
4,2013-09-10 12:00:00
5,2013-09-10 11:00:00
6,2013-09-10 10:00:00
7,2013-09-10 09:00:00
8,2013-09-10 08:00:00
9,2013-09-10 07:00:00
0,2010-07-24 01:00:00
1,2015-05-19 20:00:00
2,2015-05-19 19:00:00
3,2015-05-19 18:00:00
4,2015-05-19 17:00:00
5,2015-05-19 16:00:00
6,2015-05-19 15:00:00
7,2015-05-19 14:00:00
8,2015-05-19 13:00:00
6,2013-09-10 06:00:00
7,2013-09-10 05:00:00
8,2013-09-10 04:00:00
9,2013-09-10 03:00:00
10,2013-09-10 02:00:00
0,2000-10-22 08:00:00
1,2000-10-22 07:00:00
2,2000-10-22 06:00:00
3,2000-10-22 05:00:00
4,2000-10-22 04:00:00
5,2000-10-22 03:00:00
6,2000-10-22 02:00:00
7,2000-10-22 01:00:00
8,2004-06-16 04:00:00
9,2004-06-16 03:00:00
10,2004-06-16 02:00:00
11,2004-06-16 01:00:00
12,2004-06-16 00:00:00
13,2004-06-15 23:00:00
14,2004-06-15 22:00:00
15,2004-06-15 21:00:00
16,2004-06-15 20:00:00
17,2004-06-15 19:00:00
18,2004-06-15 18:00:00
19,2004-06-15 17:00:00
20,2004-06-15 16:00:00
21,2004-06-15 15:00:00
22,2004-06-15 14:00:00
23,2004-06-15 13:00:00
24,2004-06-15 12:00:00
25,2004-06-15 11:00:00
26,2004-06-15 10:00:00
27,2004-06-15 09:00:00
28,2004-06-15 08:00:00
29,2004-06-15 07:00:00
30,2004-06-15 06:00:00
31,2004-06-15 05:00:00
32,2004-06-15 04:00:00
33,2004-06-15 03:00:00
34,2004-06-15 02:00:00
35,2004-06-15 01:00:00
36,2007-03-22 13:00:00
37,2007-03-22 12:00:00
38,2007-03-22 11:00:00
39,2008-10-12 02:00:00
40,2008-10-12 01:00:00
41,2008-10-12 00:00:00
42,2008-10-11 23:00:00
43,2008-10-11 22:00:00
44,2008-10-11 21:00:00
45,2010-07-02 21:00:00
46,2010-07-02 20:00:00
47,2010-07-02 19:00:00
48,2010-07-02 18:00:00
49,2010-07-02 17:00:00
50,2010-07-02 16:00:00
51,2010-07-02 15:00:00
52,2010-07-02 14:00:00
53,2010-07-02 13:00:00
54,2010-07-02 12:00:00
55,2010-07-05 20:00:00
56,2010-07-05 19:00:00
57,2010-07-05 18:00:00
58,2010-07-05 17:00:00
59,2010-07-05 16:00:00
60,2010-07-05 15:00:00
61,2010-07-05 14:00:00
62,2010-07-05 13:00:00
63,2010-07-05 12:00:00
78,2013-09-10 01:00:00
79,2013-09-10 00:00:00
80,2013-09-09 23:00:00
81,2013-09-09 22:00:00
82,2013-09-09 21:00:00
83,2018-06-17 08:00:00
84,2018-06-17 07:00:00
85,2018-06-17 06:00:00
86,2018-06-17 05:00:00
87,2018-06-17 04:00:00
88,2018-06-17 03:00:00
89,2018-06-17 02:00:00
90,2018-06-17 01:00:00
91,2023-10-01 22:00:00
92,2023-10-01 21:00:00
93,2023-10-01 20:00:00
94,2023-10-01 19:00:00
95,2023-10-01 18:00:00
96,2023-10-01 17:00:00
97,2023-10-01 16:00:00
98,2023-10-01 15:00:00
99,2023-10-01 14:00:00
100,2023-10-01 13:00:00
101,2023-10-01 12:00:00
102,2023-10-01 11:00:00
103,2023-10-01 10:00:00
104,2023-10-01 09:00:00
105,2023-10-01 08:00:00
106,2023-10-01 07:00:00
0,2011-07-01 02:00:00
1,2011-07-01 01:00:00
2,2011-07-01 00:00:00
3,2011-06-30 23:00:00
4,2011-06-30 22:00:00
5,2011-06-30 21:00:00
6,2013-09-10 21:00:00
7,2013-09-10 20:00:00
8,2013-09-10 19:00:00
9,2013-09-10 18:00:00
10,2013-09-10 17:00:00
0,2000-10-28 02:00:00
1,2000-10-28 01:00:00
2,2000-10-28 00:00:00
3,2000-10-27 23:00:00
4,2000-10-27 22:00:00
5,2000-10-27 21:00:00
6,2000-10-27 20:00:00
7,2000-10-27 19:00:00
8,2000-10-27 18:00:00
9,2000-10-27 17:00:00
10,2000-10-27 16:00:00
11,2000-10-27 15:00:00
12,2000-10-27 14:00:00
13,2000-10-27 13:00:00
14,2000-10-27 12:00:00
15,2000-10-27 11:00:00
16,2000-10-27 10:00:00
17,2000-10-27 09:00:00
18,2000-10-27 08:00:00
19,2000-10-27 07:00:00
20,2004-06-08 12:00:00
21,2004-06-08 11:00:00
22,2004-06-08 10:00:00
23,2004-06-08 09:00:00
24,2004-06-08 08:00:00
25,2004-06-08 07:00:00
26,2018-06-15 21:00:00
27,2018-06-15 20:00:00
28,2018-06-15 19:00:00
29,2018-06-15 18:00:00
30,2018-06-15 17:00:00
31,2018-06-15 16:00:00
32,2018-06-15 15:00:00
33,2018-06-15 14:00:00
34,2018-06-15 13:00:00
35,2018-06-15 12:00:00
36,2018-06-15 11:00:00
37,2018-06-15 10:00:00
38,2018-06-15 09:00:00
39,2019-05-26 01:00:00
40,2019-05-26 00:00:00
41,2019-05-25 23:00:00
42,2019-05-25 22:00:00
43,2019-05-25 21:00:00
44,2019-05-25 20:00:00
45,2019-05-25 19:00:00
46,2019-05-25 18:00:00
47,2019-05-25 17:00:00
48,2019-05-25 16:00:00
49,2019-05-25 15:00:00
50,2019-05-25 14:00:00
51,2019-05-25 13:00:00
52,2019-05-25 12:00:00
53,2019-05-25 11:00:00
54,2019-05-25 10:00:00
55,2019-05-25 09:00:00
56,2019-05-25 08:00:00
57,2019-05-25 07:00:00
58,2019-05-25 06:00:00
59,2019-05-25 05:00:00
60,2019-05-25 04:00:00
