,datetime
0,2003-02-26 00:00:00
1,2003-02-25 23:00:00
2,2003-02-25 22:00:00
3,2003-02-25 21:00:00
4,2003-02-25 20:00:00
5,2003-02-25 19:00:00
6,2003-02-25 18:00:00
7,2003-02-25 17:00:00
8,2003-02-25 16:00:00
9,2003-02-28 00:00:00
10,2003-02-27 23:00:00
11,2003-02-27 22:00:00
12,2003-02-27 21:00:00
13,2003-02-27 20:00:00
14,2003-02-27 19:00:00
15,2003-02-27 18:00:00
16,2003-02-27 17:00:00
17,2003-02-27 16:00:00
18,2003-02-27 15:00:00
19,2003-02-27 14:00:00
20,2003-03-17 00:00:00
21,2003-03-16 23:00:00
22,2003-03-16 22:00:00
23,2003-03-16 21:00:00
24,2003-03-16 20:00:00
25,2003-03-16 19:00:00
26,2003-03-16 18:00:00
27,2003-03-16 17:00:00
28,2003-03-16 16:00:00
29,2003-03-16 15:00:00
30,2003-03-16 14:00:00
31,2003-09-10 00:00:00
32,2003-09-09 23:00:00
33,2003-09-09 22:00:00
34,2003-09-09 21:00:00
35,2003-09-09 20:00:00
36,2003-09-09 19:00:00
37,2003-09-09 18:00:00
38,2003-09-09 17:00:00
39,2003-11-13 00:00:00
40,2003-11-12 23:00:00
41,2003-11-12 22:00:00
42,2003-11-12 21:00:00
43,2003-11-12 20:00:00
44,2003-11-12 19:00:00
45,2003-11-12 18:00:00
46,2003-11-12 17:00:00
47,2003-11-12 16:00:00
48,2003-11-12 15:00:00
49,2003-11-12 14:00:00
50,2003-11-12 13:00:00
51,2003-11-12 12:00:00
52,2003-11-12 11:00:00
53,2003-11-12 10:00:00
54,2003-11-12 09:00:00
55,2003-11-12 08:00:00
56,2003-11-12 07:00:00
57,2003-11-12 06:00:00
58,2003-11-12 05:00:00
59,2003-11-12 04:00:00
60,2003-11-12 03:00:00
61,2003-11-12 02:00:00
62,2003-11-12 01:00:00
63,2003-11-12 00:00:00
64,2003-11-11 23:00:00
65,2003-11-11 22:00:00
66,2003-11-11 21:00:00
