lat,lon
70.0,-131.25
70.0,-131.0
70.0,-130.75
70.0,-130.5
70.0,-130.25
70.0,-129.5
70.0,-129.25
70.0,-128.75
70.0,-128.5
70.0,-127.0
70.0,-126.75
70.0,-125.0
70.0,-124.75
70.0,-124.5
70.0,-124.25
70.0,-117.5
70.0,-101.0
70.0,-96.25
70.0,-91.75
70.0,-87.0
70.0,-86.75
70.0,-86.5
70.0,-86.25
70.0,-86.0
70.0,-85.75
70.0,-81.75
70.0,-81.5
69.75,-132.5
69.75,-132.25
69.75,-132.0
69.75,-131.75
69.75,-131.5
69.75,-129.0
69.75,-126.5
69.75,-126.25
69.75,-125.5
69.75,-125.25
69.75,-124.25
69.75,-123.0
69.75,-122.75
69.75,-122.5
69.75,-122.25
69.75,-122.0
69.75,-121.75
69.75,-121.5
69.75,-121.25
69.75,-121.0
69.75,-117.5
69.75,-117.25
69.75,-117.0
69.75,-101.25
69.75,-101.0
69.75,-98.5
69.75,-98.25
69.75,-98.0
69.75,-97.75
69.75,-97.5
69.75,-97.25
69.75,-97.0
69.75,-96.5
69.75,-91.5
69.75,-91.25
69.75,-85.5
69.75,-82.0
69.75,-81.25
69.75,-81.0
69.75,-80.75
69.75,-80.5
69.75,-80.0
69.5,-140.0
69.5,-139.75
69.5,-139.5
69.5,-139.25
69.5,-139.0
69.5,-135.25
69.5,-135.0
69.5,-134.75
69.5,-134.5
69.5,-134.25
69.5,-134.0
69.5,-133.75
69.5,-133.25
69.5,-133.0
69.5,-132.75
69.5,-126.0
69.5,-125.75
69.5,-124.0
69.5,-123.5
69.5,-123.25
69.5,-120.75
69.5,-120.5
69.5,-120.25
69.5,-116.75
69.5,-116.5
69.5,-116.25
69.5,-116.0
69.5,-101.5
69.5,-98.75
69.5,-96.75
69.5,-91.0
69.5,-90.75
69.5,-90.5
69.5,-85.75
69.5,-82.0
69.5,-80.25
69.25,-138.75
69.25,-138.5
69.25,-138.25
69.25,-136.0
69.25,-135.75
69.25,-135.5
69.25,-133.5
69.25,-123.75
69.25,-120.0
69.25,-119.75
69.25,-119.5
69.25,-119.25
69.25,-119.0
69.25,-118.75
69.25,-115.75
69.25,-101.75
69.25,-98.75
69.25,-90.25
69.25,-89.75
69.25,-89.5
69.25,-89.25
69.25,-89.0
69.25,-85.5
69.25,-81.75
69.25,-81.5
69.0,-138.0
69.0,-137.75
69.0,-137.5
